Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts
G,451,Austin,3.9,3.9,Spurs,0,0.01,0,0.00,0,0.02,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01
M,452,Devine,4.3,4.3,Spurs,0,0.02,1,0.07,2,0.10,3,0.13,2,0.10,2,0.11,1,0.06,2,0.07,1,0.05
F,453,Parrott,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,454,Richarlison,8.4,8.4,Spurs,46,2.43,50,3.04,49,2.66,48,2.44,48,2.54,49,3.07,49,2.32,48,2.48,49,2.31
G,455,Fabianski,5.0,5.0,West Ham,69,2.58,88,3.74,0,0.00,85,7.32,86,3.47,86,3.23,85,3.60,85,3.22,85,5.11
D,456,Ogbonna,4.4,4.4,West Ham,66,1.68,46,1.78,0,0.00,42,3.27,43,1.42,44,1.21,44,1.64,44,1.30,42,1.97
D,457,Cresswell,4.7,4.7,West Ham,44,1.27,45,1.93,0,0.00,41,3.59,41,1.55,43,1.32,41,1.70,42,1.40,43,2.15
F,458,Antonio,7.0,7.0,West Ham,21,1.25,24,1.73,0,0.00,27,3.60,26,1.63,26,1.48,27,1.80,26,1.67,27,2.30
D,459,Dawson,4.8,4.8,Wolves,86,2.58,83,2.22,83,3.18,81,3.00,78,2.47,80,3.02,78,2.45,78,3.46,75,1.80
M,460,Lanzini,5.1,5.1,West Ham,5,0.30,6,0.39,0,0.00,8,0.96,9,0.51,8,0.42,9,0.56,9,0.54,10,0.79
D,461,Zouma,4.4,4.4,West Ham,30,0.85,73,2.94,0,0.00,76,6.13,76,2.62,76,2.14,73,2.86,74,2.27,75,3.50
D,462,Masuaku,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,463,Coufal,4.1,4.1,West Ham,54,1.57,69,2.96,0,0.00,65,5.62,67,2.46,66,2.01,64,2.67,65,2.17,64,3.18
M,464,Benrahma,5.5,5.5,West Ham,55,2.81,49,3.25,0,0.00,51,6.55,49,2.94,50,2.60,49,3.11,44,2.66,47,3.80
M,465,Bowen,8.0,8.0,West Ham,80,3.24,77,4.06,0,0.00,74,7.63,73,3.44,73,3.05,72,3.63,71,3.33,71,4.61
M,466,Vlasic,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,467,Rice,4.7,4.7,West Ham,86,2.40,81,2.64,0,0.00,79,5.14,77,2.37,77,2.20,77,2.46,77,2.32,75,3.29
M,468,Soucek,5.1,5.1,West Ham,54,1.79,60,2.33,0,0.00,60,4.63,59,2.09,60,1.98,59,2.20,60,2.11,60,3.02
M,469,Fornals,4.9,4.9,West Ham,19,0.93,22,1.23,0,0.00,23,2.43,25,1.25,25,1.16,24,1.24,26,1.29,26,1.84
D,470,Diop,4.3,4.3,Fulham,82,2.21,78,1.81,0,0.00,78,2.59,76,2.65,77,2.53,73,1.35,74,2.05,75,2.65
D,471,Johnson,4.4,4.4,West Ham,39,1.19,26,1.13,0,0.00,29,2.55,29,1.11,29,0.95,32,1.37,29,1.03,31,1.67
D,472,Aguerd,4.8,4.8,West Ham,85,2.07,78,2.93,0,0.00,77,5.82,76,2.46,74,1.98,74,2.73,74,2.12,72,3.25
G,473,Areola,4.3,4.3,West Ham,21,0.77,2,0.09,0,0.00,4,0.37,4,0.16,4,0.14,4,0.18,5,0.20,5,0.33
D,474,Boly,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,475,Coady,4.9,4.9,Everton,77,2.87,75,2.81,72,1.75,75,2.40,74,1.59,72,2.88,73,2.63,72,2.38,71,2.19
F,476,Jiménez,6.7,6.7,Wolves,43,2.34,32,1.67,33,2.10,33,1.97,34,1.82,32,2.01,31,1.80,33,2.06,29,1.51
D,477,Jonny,4.3,4.3,Wolves,25,0.92,22,0.73,23,0.98,21,0.88,23,0.87,22,0.95,23,0.84,24,1.15,24,0.73
G,478,Sá,5.0,5.0,Wolves,89,3.43,88,3.30,86,3.63,86,3.65,85,3.36,86,3.65,86,3.40,87,3.99,86,3.19
M,479,Dendoncker,4.7,4.7,Aston Villa,19,0.74,21,0.77,21,0.86,23,1.65,24,0.95,23,0.85,24,0.85,24,0.93,26,0.86
M,480,Neves,5.5,5.5,Wolves,86,2.86,80,2.53,80,3.02,69,2.51,63,2.12,65,2.45,63,2.21,61,2.37,67,2.09
M,481,Hwang,5.7,5.7,Wolves,2,0.14,8,0.47,18,1.16,21,1.30,25,1.39,25,1.57,26,1.51,26,1.65,25,1.29
D,482,Semedo,5.0,5.0,Wolves,81,2.74,79,2.37,78,3.33,74,3.06,73,2.58,74,3.13,73,2.58,69,3.42,70,1.91
M,483,Podence,5.3,5.3,Wolves,40,2.13,38,1.86,33,2.02,35,2.00,33,1.75,31,1.88,34,1.89,38,2.29,37,1.77
D,484,Kilman,4.4,4.4,Wolves,79,2.38,75,2.01,74,2.80,70,2.55,72,2.26,71,2.65,72,2.24,68,2.99,69,1.64
M,485,Cundle,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,486,Neto,4.9,4.9,Wolves,22,1.34,38,1.91,47,2.83,48,2.68,46,2.37,47,2.78,46,2.53,47,2.86,46,2.15
D,487,Aït-Nouri,4.2,4.2,Wolves,59,2.16,46,1.54,40,1.83,34,1.54,33,1.27,35,1.59,34,1.35,34,1.76,36,1.14
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,489,Toti,3.9,3.9,Wolves,1,0.06,3,0.10,4,0.18,4,0.18,4,0.16,5,0.21,6,0.20,7,0.28,5,0.15
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,491,Adama,5.4,5.4,Wolves,40,2.17,35,1.78,32,2.00,32,1.85,36,1.90,32,1.95,33,1.87,34,2.10,34,1.67
G,492,Šarkić,3.9,3.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,80,3.78,75,2.92,75,3.21,76,6.63,73,3.03,72,2.99,72,2.70,72,3.03,71,2.89
D,494,Mosquera,3.9,3.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,496,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,497,Adrián,3.9,3.9,Liverpool,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.00,0,0.00,0,0.01
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,499,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,501,Phillips,3.9,3.9,Liverpool,1,0.03,1,0.04,0,0.00,0,0.02,1,0.02,0,0.01,0,0.02,0,0.01,1,0.05
G,502,Carson,3.8,3.8,Man City,0,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.03
M,503,Moutinho,4.7,4.7,Wolves,45,1.74,45,1.66,41,1.73,44,1.75,43,1.63,43,1.75,45,1.71,43,1.82,41,1.50
D,504,Malacia,4.2,4.2,Man Utd,26,0.95,18,0.95,0,0.00,20,1.78,19,1.02,21,1.02,21,0.25,21,0.80,22,1.80
M,505,Rothwell,4.9,4.9,Bournemouth,21,0.76,15,0.62,10,0.41,9,0.74,9,0.37,9,0.36,10,0.42,10,0.42,10,0.44
M,506,Adams,4.9,4.9,Leeds,84,2.11,83,2.24,80,2.16,78,4.32,77,2.32,76,2.06,74,1.09,76,2.24,76,2.69
D,507,Niakhaté,4.3,4.3,Nott'm Forest,0,0.00,3,0.07,14,0.48,33,2.28,27,0.85,21,0.61,20,0.44,18,0.55,19,0.56
M,508,Sinisterra,6.5,6.5,Leeds,9,0.50,35,2.06,57,3.13,61,6.96,58,3.84,59,3.38,58,1.77,59,3.98,55,4.21
M,509,Downes,4.2,4.2,West Ham,8,0.37,11,0.50,0,0.00,13,1.21,13,0.57,15,0.61,14,0.62,16,0.68,17,1.08
D,510,Hickey,4.9,4.9,Brentford,61,2.76,59,4.84,58,2.60,59,3.24,58,2.23,54,2.02,54,2.41,58,1.67,56,2.81
D,511,Richards,4.4,4.4,Nott'm Forest,0,0.00,0,0.01,3,0.10,5,0.35,5,0.16,6,0.18,6,0.18,6,0.20,4,0.15
M,512,Aribo,5.1,5.1,Southampton,1,0.08,2,0.23,2,0.14,2,0.14,3,0.16,3,0.20,3,0.16,3,0.23,3,0.19
D,513,Lenglet,4.8,4.8,Spurs,31,1.27,33,1.67,37,1.54,33,1.40,37,1.36,38,1.91,36,1.16,38,1.31,37,1.01
M,514,C.Doucouré,5.0,5.0,Crystal Palace,84,2.38,79,4.15,76,1.94,70,2.25,70,2.03,68,2.08,66,2.15,62,1.82,64,2.00
M,515,Lewis-Potter,5.2,5.2,Brentford,7,0.46,9,0.96,11,0.66,12,1.20,15,0.81,16,0.81,17,0.98,15,0.72,17,1.05
D,516,Collins,4.4,4.4,Wolves,31,0.99,34,0.98,33,1.29,37,1.39,40,1.31,39,1.49,39,1.28,44,1.94,45,1.11
G,517,Strakosha,4.3,4.3,Brentford,1,0.05,3,0.24,2,0.08,4,0.29,4,0.16,4,0.14,4,0.16,5,0.17,5,0.22
G,518,Hennessey,3.9,3.9,Nott'm Forest,1,0.06,1,0.05,1,0.05,0,0.02,0,0.01,1,0.02,1,0.03,0,0.01,0,0.02
M,519,Eriksen,6.3,6.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.17,14,1.44
D,520,Koulibaly,5.5,5.5,Chelsea,44,2.10,45,1.84,43,2.23,39,3.33,43,1.77,42,1.67,39,0.34,32,1.53,30,1.26
M,521,Francois,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,522,Spence,4.1,4.1,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,523,Toffolo,4.3,4.3,Nott'm Forest,19,0.85,18,0.51,18,0.64,11,0.76,10,0.32,11,0.32,9,0.21,14,0.45,12,0.39
M,524,O'Brien,4.8,4.8,Nott'm Forest,3,0.10,1,0.06,2,0.07,2,0.15,2,0.07,2,0.08,3,0.10,3,0.10,4,0.16
D,525,Augustinsson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,526,Mee,5.0,5.0,Brentford,87,3.52,84,6.14,81,3.24,83,3.77,81,2.73,81,2.61,82,3.20,81,1.96,81,3.65
M,527,Lingard,5.4,5.4,Nott'm Forest,24,1.38,26,1.25,24,1.25,22,2.41,23,1.20,23,1.21,24,1.15,22,1.14,22,1.14
F,528,Mara,5.3,5.3,Southampton,23,1.32,19,2.13,14,0.83,13,0.74,12,0.65,13,0.84,14,0.69,14,0.93,15,0.81
F,529,Scamacca,6.6,6.6,West Ham,15,0.87,24,1.59,0,0.00,37,4.50,38,2.14,39,1.94,39,2.30,38,2.12,38,2.91
D,530,Richards,4.4,4.4,Crystal Palace,9,0.31,15,0.69,18,0.38,19,0.71,22,0.66,23,0.81,25,1.08,28,0.90,27,1.03
D,531,Vinagre,4.3,4.3,Everton,9,0.37,11,0.45,11,0.35,14,0.54,14,0.41,14,0.63,14,0.56,14,0.54,13,0.50
D,532,Mbabu,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,533,Martínez,4.5,4.5,Man Utd,77,2.29,77,3.82,0,0.00,71,5.52,69,3.52,67,2.96,69,0.73,66,2.10,68,5.02
M,534,McNeil,5.1,5.1,Everton,72,3.29,69,3.28,67,2.52,69,3.03,68,2.58,67,3.33,65,2.83,66,2.89,66,2.87
M,535,Tavernier,4.7,4.7,Bournemouth,7,0.28,31,1.29,52,2.06,62,5.29,58,2.35,61,2.25,58,2.49,59,2.44,58,2.62
M,536,Mangala,4.9,4.9,Nott'm Forest,15,0.66,14,0.59,14,0.59,12,1.09,15,0.64,15,0.64,15,0.64,14,0.62,16,0.70
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,538,Young,4.4,4.4,Aston Villa,21,1.03,26,0.98,27,1.38,27,1.84,27,1.35,27,1.09,28,1.04,29,1.36,30,0.87
D,539,Hill,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,540,Stevens,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,541,Dervişoğlu,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,542,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,543,Clarke,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,544,Van Hecke,4.0,4.0,Brighton,9,0.38,7,0.54,0,0.00,6,0.54,7,0.28,19,0.75,7,0.02,9,0.39,8,0.56
D,545,Emerson,4.0,4.0,West Ham,41,1.40,39,1.93,0,0.00,39,3.79,39,1.69,39,1.40,40,1.93,40,1.56,38,2.21
M,546,Harris,4.4,4.4,Fulham,0,0.01,1,0.03,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01,0,0.01,0,0.02
D,547,Drameh,4.0,4.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,548,Iversen,3.8,3.8,Leicester,1,0.04,2,0.09,3,0.10,4,0.29,4,0.17,4,0.13,5,0.20,5,0.20,3,0.15
M,549,Praet,4.8,4.8,Leicester,26,1.20,23,1.08,27,1.20,29,2.69,31,1.54,32,1.20,28,1.33,28,1.26,26,1.26
M,550,Amad,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,551,Iqbal,4.2,4.2,Man Utd,0,0.00,0,0.00,0,0.00,0,0.02,0,0.01,0,0.01,0,0.00,0,0.01,0,0.04
M,552,Anderson,4.4,4.4,Newcastle,11,0.47,17,0.81,19,0.88,17,1.52,18,0.93,17,1.02,18,0.83,18,0.82,17,0.96
M,553,Hammond,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,554,Bryan,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,555,Ashby,3.8,3.8,Newcastle,0,0.00,2,0.06,1,0.03,1,0.09,1,0.05,0,0.02,1,0.02,0,0.02,0,0.01
M,556,Coventry,4.4,4.4,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,557,Smith,3.9,3.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,558,Bueno,3.9,3.9,Wolves,5,0.19,26,0.93,33,1.55,44,2.00,43,1.70,41,1.91,43,1.69,42,2.19,42,1.35
D,559,Colwill,4.4,4.4,Brighton,13,0.57,36,3.07,0,0.00,50,4.20,52,1.79,12,0.47,50,0.10,49,2.09,49,3.61
M,560,Mills,4.4,4.4,Everton,1,0.05,1,0.06,1,0.03,1,0.07,1,0.06,1,0.04,1,0.06,1,0.04,1,0.06
M,561,Warrington,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,562,Solomon,4.9,4.9,Fulham,19,0.99,24,1.11,0,0.00,11,0.61,14,0.78,14,0.74,14,0.42,15,0.77,16,1.39
D,563,Chambers,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,564,Bajcetic,4.4,4.4,Liverpool,42,1.58,40,1.62,0,0.00,29,2.18,30,1.18,30,1.22,30,1.36,32,1.26,30,1.92
M,565,Gray,4.5,4.5,Leeds,0,0.00,0,0.01,0,0.02,0,0.02,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01
M,566,Hodge,4.4,4.4,Wolves,1,0.04,1,0.06,1,0.05,1,0.04,3,0.11,3,0.11,2,0.09,2,0.09,1,0.06
M,567,Ronan,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,568,Campbell,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,569,Garnacho,4.2,4.2,Man Utd,28,1.67,26,2.01,0,0.00,21,2.86,22,1.64,24,1.65,24,0.42,24,1.45,23,2.87
M,570,Garner,4.5,4.5,Everton,6,0.19,11,0.40,13,0.42,12,0.44,14,0.45,15,0.57,15,0.53,17,0.59,17,0.61
G,571,Randolph,4.0,4.0,Bournemouth,1,0.03,1,0.05,2,0.06,3,0.20,2,0.09,4,0.13,2,0.08,2,0.07,3,0.12
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,573,Lewis,3.9,3.9,Man City,40,2.11,34,1.89,0,0.00,36,1.79,40,2.21,39,2.26,40,0.14,38,1.80,38,3.84
G,574,Neto,4.5,4.5,Bournemouth,88,3.12,87,3.17,87,3.24,86,6.73,86,3.22,84,2.99,85,3.39,86,3.34,86,3.38
M,575,Cornet,5.9,5.9,West Ham,9,0.49,13,0.80,0,0.00,16,1.90,16,0.93,16,0.86,15,0.92,18,1.02,16,1.31
D,576,Senesi,4.4,4.4,Bournemouth,74,1.31,68,1.73,58,1.62,58,3.74,55,1.56,53,1.20,53,1.85,66,2.16,57,2.00
M,577,Onana,4.8,4.8,Everton,81,2.71,78,2.66,77,2.19,76,2.46,74,2.11,70,2.50,69,2.26,65,2.13,67,2.17
G,578,Robles,4.0,4.0,Leeds,1,0.04,2,0.06,3,0.11,3,0.26,4,0.18,3,0.10,4,0.08,4,0.18,5,0.24
M,579,Guedes,5.8,5.8,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,580,Damsgaard,5.0,5.0,Brentford,9,0.65,11,1.33,13,0.85,17,1.82,20,1.20,22,1.20,24,1.48,25,1.21,25,1.60
G,581,Smithies,3.9,3.9,Leicester,0,0.00,0,0.01,0,0.01,0,0.02,1,0.03,1,0.03,1,0.03,0,0.01,1,0.03
M,582,Freuler,4.9,4.9,Nott'm Forest,81,2.47,78,2.08,79,2.22,77,4.41,74,2.06,74,2.04,73,1.90,75,2.08,72,2.00
M,583,Kouyaté,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,1,0.06,9,0.81,9,0.38,10,0.41,9,0.36,12,0.51,13,0.52
M,584,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,585,Dennis,5.6,5.6,Nott'm Forest,10,0.58,10,0.52,11,0.64,8,0.93,7,0.41,9,0.50,10,0.51,9,0.51,10,0.57
D,586,Estupiñán,4.7,4.7,Brighton,57,2.93,75,7.47,0,0.00,73,7.35,72,2.98,74,3.29,72,0.17,71,3.64,72,6.32
D,587,Sergio Gómez,4.5,4.5,Man City,4,0.17,3,0.13,0,0.00,4,0.20,6,0.29,5,0.25,6,0.02,7,0.29,7,0.63
D,588,Kehrer,4.4,4.4,West Ham,48,1.28,31,1.24,0,0.00,36,2.87,37,1.30,38,1.12,39,1.52,38,1.19,40,1.92
M,589,Matheus,4.8,4.8,Wolves,51,2.12,50,1.96,47,2.16,49,2.13,48,1.95,52,2.30,47,1.97,50,2.31,48,1.83
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.02,0,0.03,1,0.02,2,0.07,1,0.06,0,0.02,0,0.00,0,0.00,0,0.00
F,591,Ablade,4.5,4.5,Fulham,1,0.06,2,0.14,0,0.00,1,0.07,1,0.09,1,0.08,2,0.08,2,0.13,1,0.17
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,593,Casemiro,4.9,4.9,Man Utd,80,2.34,77,2.81,0,0.00,72,4.67,72,2.58,73,2.48,70,0.62,72,2.15,70,4.20
F,594,Isak,6.6,6.6,Newcastle,57,2.53,55,3.33,55,3.24,55,6.01,54,3.43,53,3.88,55,3.28,54,3.01,54,3.88
D,595,Zanka,4.0,4.0,Brentford,8,0.28,8,0.50,11,0.39,12,0.55,14,0.46,15,0.48,17,0.62,14,0.35,14,0.57
F,596,Ferguson,4.6,4.6,Brighton,16,1.19,18,2.65,0,0.00,21,3.16,22,1.60,23,1.77,22,0.11,20,1.48,21,2.96
F,597,Saydee,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,598,Bevan,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,599,Gomes,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,600,Knight,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.02,1,0.03,0,0.03,1,0.00,1,0.04,1,0.06
M,601,Rodney,4.5,4.5,Crystal Palace,0,0.01,0,0.04,0,0.02,1,0.03,0,0.01,0,0.02,0,0.02,1,0.04,1,0.05
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,73,3.18,72,1.84,68,2.31,64,4.60,65,2.07,63,1.87,63,1.41,59,1.89,61,1.89
